original index,img_link,img_dir,img_name,year
66,https://upload.wikimedia.org/wikipedia/commons/f/fe/Vincent_van_Gogh_0141.jpg,./all_paintings/66_Vincent_van_Gogh_0141.jpg,"Weaver, Seen from the Front",1884
67,https://upload.wikimedia.org/wikipedia/commons/b/b0/Van_Gogh_-_Weber_am_Webstuhl_mit_Haspel.jpeg,./all_paintings/67_Van_Gogh_-_Weber_am_Webstuhl_mit_Haspel.jpeg,Weaver Facing Left with Spinning Wheel,1884
68,https://upload.wikimedia.org/wikipedia/commons/9/94/Van_Gogh_-_Weber_am_Webstuhl_%28von_vorn%29.jpeg,./all_paintings/68_Van_Gogh_-_Weber_am_Webstuhl_%28von_vorn%29.jpeg,Loom With Weaver,1884
69,https://upload.wikimedia.org/wikipedia/commons/1/1a/Van_Gogh_-_Landschaft_mit_Weiden.jpeg,./all_paintings/69_Van_Gogh_-_Landschaft_mit_Weiden.jpeg,Landscape with Pollard Willows,1884
70,https://upload.wikimedia.org/wikipedia/commons/7/77/Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_pr%C3%BCfend2.jpeg,./all_paintings/70_Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_pr%C3%BCfend2.jpeg,Weaver Standing in Front of a Loom,1884
71,https://upload.wikimedia.org/wikipedia/commons/8/85/Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_Pr%C3%BCfend1.jpeg,./all_paintings/71_Van_Gogh_-_Weber_am_Webstuhl%2C_das_Gewebe_Pr%C3%BCfend1.jpeg,Weaver Facing Right also Weaver Standing in Front of the Loom,1884
72,https://upload.wikimedia.org/wikipedia/commons/0/09/Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg,./all_paintings/72_Van_Gogh_-Der_alte_Friedhofsturm_in_Nuenen_mit_pl%C3%BCgenden_Bauern.jpeg,The Old Tower at Nuenen with a Ploughman,1884
73,https://upload.wikimedia.org/wikipedia/commons/f/f7/Van_Gogh_-_Weber%2C_am_Webstuhl_stehend.jpeg,./all_paintings/73_Van_Gogh_-_Weber%2C_am_Webstuhl_stehend.jpeg,Loom With Weaver also Weaver Arranging Threads,1884
74,https://upload.wikimedia.org/wikipedia/commons/4/46/Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg,./all_paintings/74_Van_Gogh_-_Weber_in_einem_Raum_mit_drei_schmalen_Fenstern.jpeg,"Loom With Weaver also Weaver, Interior with Three Small Windows",1884
75,https://upload.wikimedia.org/wikipedia/commons/b/bf/Van_Gogh_-_Karren_mit_rotbraunem_Ochsen.jpeg,./all_paintings/75_Van_Gogh_-_Karren_mit_rotbraunem_Ochsen.jpeg,Cart with Red and White Ox,1884
76,https://upload.wikimedia.org/wikipedia/commons/0/07/Van_Gogh_-_Karren_mit_schwarzem_Ochsen.jpeg,./all_paintings/76_Van_Gogh_-_Karren_mit_schwarzem_Ochsen.jpeg,Cart with Black Ox,1884
77,https://upload.wikimedia.org/wikipedia/commons/7/7d/Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen2.jpeg,./all_paintings/77_Van_Gogh_-_Der_alte_Friedhofsturm_in_Nuenen2.jpeg,The Old Tower in the Fields,1884
78,https://upload.wikimedia.org/wikipedia/commons/7/71/Van_Gogh_-_Bauern_beim_Kartoffelsetzen.jpeg,./all_paintings/78_Van_Gogh_-_Bauern_beim_Kartoffelsetzen.jpeg,Farmers Planting Potatoes,1884
79,https://upload.wikimedia.org/wikipedia/commons/6/6c/Van_Gogh_-_Shepherd_with_a_Flock_of_Sheep.jpg,./all_paintings/79_Van_Gogh_-_Shepherd_with_a_Flock_of_Sheep.jpg,Shepherd with a Flock of Sheep,1884
80,https://upload.wikimedia.org/wikipedia/commons/e/ea/Van_Gogh_-_Holzsammler_im_Schnee.jpeg,./all_paintings/80_Van_Gogh_-_Holzsammler_im_Schnee.jpeg,Wood Gatherers in the Snow,1884
81,https://upload.wikimedia.org/wikipedia/commons/3/30/F46-Raderen-Genneper-watermolen.jpg,./all_paintings/81_F46-Raderen-Genneper-watermolen.jpg,Water Mill at Gennep,1884
82,https://upload.wikimedia.org/wikipedia/commons/9/92/F47-Watermolen-te-Gennep.jpg,./all_paintings/82_F47-Watermolen-te-Gennep.jpg,Water Mill at Gennep black and white reproduction),1884
83,https://upload.wikimedia.org/wikipedia/commons/8/88/Vincent_van_Gogh_-_Water_mill_at_Opwetten_%281884%29.jpg,./all_paintings/83_Vincent_van_Gogh_-_Water_mill_at_Opwetten_%281884%29.jpg,Water Mill at Opwetten,1884
84,https://upload.wikimedia.org/wikipedia/commons/1/1e/Van_Gogh_-_Wasserm%C3%BChle_in_Kollen_bei_Nuenen.jpeg,./all_paintings/84_Van_Gogh_-_Wasserm%C3%BChle_in_Kollen_bei_Nuenen.jpeg,Water Mill at Kollen Near Nuenen,1884
85,https://upload.wikimedia.org/wikipedia/commons/9/9f/Van_Gogh_-_Stillleben_mit_vier_Kr%C3%BCgen%2C_Flasche_und_wei%C3%9Fen_Napf.jpeg,./all_paintings/85_Van_Gogh_-_Stillleben_mit_vier_Kr%C3%BCgen%2C_Flasche_und_wei%C3%9Fen_Napf.jpeg,"Still Life with Four Stone Bottles, Flask and White Cup",1884
86,https://upload.wikimedia.org/wikipedia/commons/3/39/Van_Gogh_-_Stillleben_mit_Bartmannkrug%2C_Kaffeem%C3%BChle_und_Pfeifenetui.jpeg,./all_paintings/86_Van_Gogh_-_Stillleben_mit_Bartmannkrug%2C_Kaffeem%C3%BChle_und_Pfeifenetui.jpeg,"Still Life with Coffee Mill, Pipe Case and Jug also Still Life with a Bearded-Man Jar",1884
